# ---------------------------------------------------------------------------------------------------------
# Threshold	Precision	Recall   	F1-measure	Classif-ER	Fls-Alarm-Prob	Miss-Prob   
# ---------------------------------------------------------------------------------------------------------
1.000 0.952 0.251 0.397 0.000 0.000 0.749 
1.000 0.952 0.250 0.396 0.000 0.000 0.750 
1.000 0.952 0.249 0.395 0.000 0.000 0.751 
1.000 0.952 0.249 0.394 0.000 0.000 0.751 
1.000 0.952 0.248 0.394 0.000 0.000 0.752 
1.000 0.952 0.248 0.393 0.000 0.000 0.752 
1.000 0.952 0.247 0.393 0.000 0.000 0.753 
1.000 0.952 0.247 0.392 0.000 0.000 0.753 
1.000 0.952 0.246 0.392 0.000 0.000 0.754 
1.000 0.952 0.246 0.391 0.000 0.000 0.754 
1.000 0.952 0.245 0.390 0.000 0.000 0.755 
1.000 0.952 0.245 0.389 0.000 0.000 0.755 
1.000 0.952 0.244 0.389 0.000 0.000 0.756 
1.000 0.952 0.244 0.388 0.000 0.000 0.756 
1.000 0.952 0.243 0.388 0.000 0.000 0.757 
1.000 0.952 0.243 0.387 0.000 0.000 0.757 
1.000 0.952 0.242 0.386 0.000 0.000 0.758 
1.000 0.952 0.242 0.385 0.000 0.000 0.758 
1.000 0.952 0.241 0.385 0.000 0.000 0.759 
1.000 0.952 0.241 0.384 0.000 0.000 0.759 
1.000 0.952 0.240 0.384 0.000 0.000 0.760 
1.000 0.952 0.240 0.383 0.000 0.000 0.760 
1.000 0.952 0.239 0.382 0.000 0.000 0.761 
1.000 0.952 0.238 0.381 0.000 0.000 0.762 
1.000 0.952 0.237 0.380 0.000 0.000 0.763 
1.000 0.952 0.237 0.379 0.000 0.000 0.763 
1.000 0.952 0.236 0.379 0.000 0.000 0.764 
1.000 0.952 0.236 0.378 0.000 0.000 0.764 
1.000 0.952 0.235 0.378 0.000 0.000 0.765 
1.000 0.952 0.235 0.377 0.000 0.000 0.765 
1.000 0.952 0.234 0.376 0.000 0.000 0.766 
1.000 0.952 0.234 0.375 0.000 0.000 0.766 
1.000 0.952 0.233 0.375 0.000 0.000 0.767 
1.000 0.952 0.233 0.374 0.000 0.000 0.767 
1.000 0.952 0.232 0.373 0.000 0.000 0.768 
1.000 0.952 0.231 0.372 0.000 0.000 0.769 
1.000 0.952 0.231 0.371 0.000 0.000 0.769 
1.000 0.952 0.230 0.371 0.000 0.000 0.770 
1.000 0.952 0.230 0.370 0.000 0.000 0.770 
1.000 0.952 0.229 0.369 0.000 0.000 0.771 
1.000 0.952 0.228 0.368 0.000 0.000 0.772 
1.000 0.952 0.228 0.367 0.000 0.000 0.772 
1.000 0.952 0.227 0.366 0.000 0.000 0.773 
1.000 0.952 0.226 0.365 0.000 0.000 0.774 
1.000 0.952 0.225 0.364 0.000 0.000 0.775 
1.000 0.952 0.224 0.363 0.000 0.000 0.776 
1.000 0.952 0.223 0.362 0.000 0.000 0.777 
1.000 0.952 0.223 0.361 0.000 0.000 0.777 
1.000 0.952 0.222 0.361 0.000 0.000 0.778 
1.000 0.952 0.222 0.360 0.000 0.000 0.778 
